iter	Passed	Remaining
1401	146798	2994397
1402	146894	2994113
1403	147022	2994478
1404	147127	2994389
1405	147225	2994137
1406	147336	2994160
1407	147422	2993683
1408	147538	2993808
1409	147654	2993924
1410	147749	2993622
1411	147869	2993839
1412	147980	2993852
1413	148091	2993880
1414	148184	2993534
1415	148306	2993773
1416	148422	2993898
1417	148517	2993595
1418	148634	2993739
1419	148722	2993293
1420	148843	2993520
1421	148941	2993290
1422	149058	2993419
1423	149150	2993071
1424	149268	2993233
1425	149379	2993239
1426	149474	2992953
1427	149593	2993125
1428	149685	2992759
1429	149808	2993023
1430	149904	2992746
1431	150024	2992955
1432	150126	2992781
1433	150225	2992569
1434	150345	2992756
1435	150453	2992722
1436	150564	2992735
1437	150667	2992604
1438	150789	2992843
1439	150884	2992538
1440	150998	2992625
1441	151094	2992347
1442	151207	2992398
1443	151306	2992188
1444	151425	2992347
1445	151512	2991890
1446	151628	2992010
1447	151726	2991781
1448	151851	2992064
1449	151950	2991861
1450	152071	2992057
1451	152168	2991802
1452	152299	2992223
1453	152389	2991813
1454	152500	2991834
1455	152600	2991640
1456	152723	2991886
1457	152846	2992145
1458	152958	2992178
1459	153074	2992291
1460	153176	2992122
1461	153304	2992482
1462	153401	2992225
1463	153520	2992398
1464	153634	2992462
1465	153730	2992196
1466	153847	2992318
1467	153946	2992105
1468	154074	2992444
1469	154182	2992404
1470	154279	2992143
1471	154398	2992309
1472	154512	2992377
1473	154611	2992165
1474	154735	2992420
1475	154847	2992461
1476	154943	2992191
1477	155075	2992604
1478	155176	2992429
1479	155292	2992525
1480	155386	2992217
1481	155504	2992365
1482	155602	2992117
1483	155740	2992652
1484	155848	2992603
1485	155965	2992729
1486	156069	2992599
1487	156189	2992791
1488	156314	2993074
1489	156454	2993626
1490	156574	2993815
1491	156680	2993728
1492	156803	2993976
1493	156901	2993722
